ID,Specialty,Years_in_Practice,Practice_Setting,Country,Aware_of_Dermacure,First_Learned,Frequency_of_Info,Prescribed_Dermacure,Number_of_Patients,Not_Prescribed_Reasons,Overall_Effectiveness,Response_Time,Safety_Profile,Adverse_Effects,Barriers,Future_Prescribing_Intent,Alternative_Treatments,Dupilumab_Rating,Tralokinumab_Rating,Upadacitinib_Rating,Abrocitinib_Rating,Ruxolitinib_Rating,Influencing_Factors,Ranking_Factors,Patient_Severity,Biologic_Naive_Percentage,Comorbidities,Suitable_Patient_Profile,Patient_Journey,Switching_Stage,Additional_Comments
1,Dermatology,11-20 years,Hospital-based,Italy,No,,,No,,Concerns about cost,Not effective,No noticeable response,Inferior,Yes: Nausea,Limited clinical data,Likely,"Tralokinumab, Abrocitinib",5,2,2,1,2,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,Allergic Rhinitis,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of topical therapies,Limited evidence available
2,Pediatrics,6-10 years,Community clinic,Italy,Yes,Professional conference,Occasionally,Yes,1-5,,Somewhat effective,<2 weeks,Superior,Yes: Dizziness,Lack of training,Very unlikely,"Dupilumab, Ruxolitinib Cream",,3,5,3,5,"Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,Allergic Rhinitis,Patients who failed topical corticosteroids,Topical -> Systemic,After failure of topical therapies,High patient satisfaction
3,General Practice,6-10 years,Community clinic,Germany,Yes,Professional conference,Frequently,Yes,1-5,,Effective,2-4 weeks,Superior,,Side effect concerns,Very likely,"Upadacitinib, Dupilumab, Tralokinumab",2,5,5,2,3,"Patient demand, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,None,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of topical therapies,Limited evidence available
4,Allergy/Immunology,0-5 years,Private practice,France,Yes,Medical journal/literature,Rarely,Yes,1-5,,Unsure,More than 4 weeks,Comparable,Yes: Dizziness,Cost issues,Unlikely,"Upadacitinib, Abrocitinib, Tralokinumab",1,5,5,1,5,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Psoriasis, Food Allergies",Patients who failed systemic therapies,Topical -> Biologic,After failure of systemic therapies,Limited evidence available
5,Dermatology,0-5 years,Hospital-based,France,Yes,Peer recommendation,Rarely,No,,Preference for alternative treatments,Somewhat effective,More than 4 weeks,Comparable,Yes: Mild headache,Limited clinical data,Very likely,"Tralokinumab, Ruxolitinib Cream",5,5,3,3,,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,"Psoriasis, Allergic Rhinitis","Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of systemic therapies,Waiting for more data
6,Allergy/Immunology,11-20 years,Hospital-based,Italy,Yes,Medical journal/literature,Occasionally,Yes,1-5,,Not effective,<2 weeks,Inferior,Yes: Nausea,Side effect concerns,Unlikely,Tralokinumab,5,,5,5,,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Asthma, Allergic Rhinitis","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Biologic,After failure of systemic therapies,Great potential
7,Pediatrics,11-20 years,Hospital-based,France,No,,,No,,Cost issues,Somewhat effective,<2 weeks,Comparable,,,Unlikely,Abrocitinib,4,1,1,,3,"Clinical efficacy, Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,"Asthma, None",Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Waiting for more data
8,Allergy/Immunology,21+ years,Private practice,Germany,Yes,,,Yes,More than 20,,Very effective,Unsure,Comparable,,,Unlikely,"Upadacitinib, Ruxolitinib Cream",4,1,4,1,4,"Patient demand, Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,Psoriasis,"Patients who failed topical corticosteroids, Patients with severe symptoms",Topical -> Systemic,After failure of systemic therapies,High patient satisfaction
9,Allergy/Immunology,21+ years,Private practice,Spain,Yes,Other: Online research,Rarely,Yes,6-10,,Not effective,<2 weeks,Inferior,Yes: Nausea,Limited clinical data,Very unlikely,"Ruxolitinib Cream, Tralokinumab, Upadacitinib",2,2,2,5,1,"Safety profile, Patient demand, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,"Psoriasis, None",Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of topical therapies,Limited evidence available
10,General Practice,11-20 years,Hospital-based,Germany,No,,,Yes,1-5,,Very effective,2-4 weeks,Comparable,Yes: Nausea,,Very likely,"Abrocitinib, Ruxolitinib Cream",5,,3,4,3,"Peer recommendations, Cost, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,Psoriasis,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Great potential
11,Dermatology,0-5 years,Community clinic,Germany,Yes,Online webinar,Rarely,Yes,11-20,,Very effective,2-4 weeks,Comparable,Yes: Dizziness,Limited clinical data,Likely,"Dupilumab, Upadacitinib, Abrocitinib",2,3,,2,4,"Peer recommendations, Cost, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,None,"Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Biologic,After failure of topical therapies,Great potential
12,Dermatology,21+ years,Private practice,Spain,No,,,No,,Preference for alternative treatments,Very effective,<2 weeks,Unsure,Yes: Mild headache,Lack of training,Neutral,Abrocitinib,4,5,,4,5,"Cost, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"Asthma, Allergic Rhinitis","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
13,General Practice,6-10 years,Community clinic,France,No,,,No,,Insufficient clinical evidence,Effective,More than 4 weeks,Inferior,Yes: Dizziness,Side effect concerns,Very likely,"Tralokinumab, Abrocitinib",5,,,4,2,"Clinical efficacy, Cost, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,"Allergic Rhinitis, Asthma","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Systemic,After failure of topical therapies,Great potential
14,Pediatrics,6-10 years,Hospital-based,France,Yes,Peer recommendation,Occasionally,No,,Lack of familiarity,Somewhat effective,More than 4 weeks,Inferior,,Limited clinical data,Neutral,"Upadacitinib, Dupilumab, Tralokinumab",,4,5,,2,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Allergic Rhinitis, Psoriasis","Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of topical therapies,Waiting for more data
15,General Practice,0-5 years,Hospital-based,Germany,Yes,Other: Online research,Occasionally,Yes,More than 20,,Effective,2-4 weeks,Inferior,Yes: Dizziness,,Unlikely,"Dupilumab, Ruxolitinib Cream, Upadacitinib",1,,3,2,1,"Patient demand, Safety profile, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,Asthma,"Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Waiting for more data
16,General Practice,21+ years,Private practice,France,Yes,Other: Online research,Occasionally,Yes,6-10,,Somewhat effective,Unsure,Comparable,Yes: Nausea,Limited clinical data,Likely,"Tralokinumab, Dupilumab",5,2,1,5,2,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,Asthma,"Patients who failed topical corticosteroids, Patients with severe symptoms",Topical -> Biologic,After failure of topical therapies,Waiting for more data
17,Dermatology,21+ years,Hospital-based,Spain,Yes,Online webinar,Rarely,Yes,More than 20,,Effective,2-4 weeks,Unsure,,Side effect concerns,Very unlikely,"Tralokinumab, Ruxolitinib Cream, Abrocitinib",,,5,4,4,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,"Allergic Rhinitis, None",Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
18,Allergy/Immunology,0-5 years,Private practice,Spain,No,,,Yes,6-10,,Effective,<2 weeks,Unsure,,Limited clinical data,Very unlikely,"Ruxolitinib Cream, Tralokinumab",4,2,,4,3,"Peer recommendations, Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,"Food Allergies, Allergic Rhinitis","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Biologic,After failure of multiple systemic therapies,High patient satisfaction
19,Allergy/Immunology,11-20 years,Academic/Research institution,France,Yes,Online webinar,Occasionally,No,,Lack of familiarity,Somewhat effective,2-4 weeks,Inferior,Yes: Mild headache,,Unlikely,"Ruxolitinib Cream, Upadacitinib, Dupilumab",1,5,,3,3,"Clinical efficacy, Safety profile, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,"Food Allergies, None","Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of topical therapies,High patient satisfaction
20,General Practice,0-5 years,Hospital-based,Italy,Yes,CME,Frequently,Yes,1-5,,Effective,More than 4 weeks,Superior,Yes: Mild headache,Limited clinical data,Very likely,"Dupilumab, Ruxolitinib Cream",,,3,3,5,"Clinical efficacy, Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,"Asthma, Psoriasis","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
21,General Practice,6-10 years,Academic/Research institution,Spain,Yes,Pharmaceutical representative,Occasionally,No,,Preference for alternative treatments,Somewhat effective,2-4 weeks,Unsure,Yes: Dizziness,,Neutral,"Dupilumab, Upadacitinib",4,5,2,,5,"Peer recommendations, Patient demand, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"Asthma, Allergic Rhinitis","Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Great potential
22,Allergy/Immunology,0-5 years,Community clinic,Germany,No,,,No,,Cost issues,Unsure,Unsure,Unsure,Yes: Nausea,Cost issues,Very likely,Dupilumab,,3,3,1,,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,Food Allergies,Patients with severe symptoms,Topical -> Systemic,After failure of topical therapies,Waiting for more data
23,General Practice,0-5 years,Private practice,Germany,Yes,Professional conference,Rarely,No,,Lack of familiarity,Somewhat effective,No noticeable response,Inferior,Yes: Mild headache,Side effect concerns,Very unlikely,"Ruxolitinib Cream, Abrocitinib, Upadacitinib",,5,4,1,2,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,"Food Allergies, Asthma",Patients with severe symptoms,Topical -> Biologic,After failure of systemic therapies,Great potential
24,General Practice,0-5 years,Academic/Research institution,Germany,Yes,Other: Online research,Occasionally,Yes,1-5,,Effective,No noticeable response,Unsure,Yes: Dizziness,Limited clinical data,Likely,"Upadacitinib, Dupilumab",5,,5,2,1,"Patient demand, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,"None, Food Allergies",Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of topical therapies,Limited evidence available
25,General Practice,6-10 years,Academic/Research institution,France,Yes,Pharmaceutical representative,Occasionally,Yes,More than 20,,Effective,More than 4 weeks,Inferior,Yes: Mild headache,,Neutral,"Tralokinumab, Dupilumab, Abrocitinib",,,4,5,1,"Patient demand, Clinical efficacy, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"Asthma, Allergic Rhinitis",Patients with severe symptoms,Topical -> Biologic,After failure of multiple systemic therapies,Great potential
26,Dermatology,0-5 years,Private practice,Italy,No,,,Yes,6-10,,Effective,<2 weeks,Inferior,Yes: Mild headache,Side effect concerns,Likely,"Tralokinumab, Dupilumab",,4,,1,2,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,"Food Allergies, Allergic Rhinitis",Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Great potential
27,General Practice,0-5 years,Academic/Research institution,France,Yes,Pharmaceutical representative,Rarely,Yes,More than 20,,Somewhat effective,No noticeable response,Unsure,Yes: Dizziness,,Likely,"Upadacitinib, Dupilumab, Ruxolitinib Cream",3,5,2,3,1,"Safety profile, Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,Asthma,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of multiple systemic therapies,Limited evidence available
28,Pediatrics,21+ years,Community clinic,France,Yes,CME,Occasionally,Yes,1-5,,Somewhat effective,More than 4 weeks,Inferior,,Cost issues,Very likely,Ruxolitinib Cream,2,,3,5,2,"Safety profile, Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"Allergic Rhinitis, None",Patients with severe symptoms,Topical -> Biologic,After failure of topical therapies,Waiting for more data
29,Pediatrics,0-5 years,Community clinic,Spain,No,,,No,,Insufficient clinical evidence,Not effective,Unsure,Comparable,Yes: Nausea,,Very unlikely,"Upadacitinib, Dupilumab, Abrocitinib",4,1,5,5,1,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,"Asthma, Food Allergies","Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Limited evidence available
30,Pediatrics,0-5 years,Academic/Research institution,France,Yes,Online webinar,Occasionally,No,,Lack of familiarity,Unsure,No noticeable response,Inferior,Yes: Nausea,,Likely,"Tralokinumab, Dupilumab, Abrocitinib",3,1,1,3,3,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,Asthma,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Great potential
31,General Practice,6-10 years,Academic/Research institution,Italy,No,,,No,,,Unsure,<2 weeks,Unsure,Yes: Dizziness,Limited clinical data,Very likely,"Tralokinumab, Abrocitinib, Ruxolitinib Cream",,5,,1,,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,None,Patients who failed topical corticosteroids,Topical -> Systemic,After failure of systemic therapies,Limited evidence available
32,Dermatology,21+ years,Community clinic,France,Yes,CME,Rarely,Yes,11-20,,Unsure,More than 4 weeks,Comparable,Yes: Dizziness,Lack of training,Unlikely,"Ruxolitinib Cream, Tralokinumab",,1,4,4,3,"Safety profile, Patient demand, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,"None, Psoriasis",Patients who failed systemic therapies,Topical -> Biologic,After failure of multiple systemic therapies,Limited evidence available
33,Pediatrics,21+ years,Community clinic,Italy,Yes,CME,Occasionally,No,,Cost issues,Very effective,<2 weeks,Unsure,Yes: Nausea,Side effect concerns,Very unlikely,Tralokinumab,4,5,5,3,4,"Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,"Food Allergies, None","Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Great potential
34,Pediatrics,0-5 years,Private practice,France,No,,,No,,Insufficient clinical evidence,Somewhat effective,No noticeable response,Unsure,Yes: Mild headache,Lack of training,Very unlikely,Ruxolitinib Cream,5,,3,1,3,"Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,Psoriasis,"Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
35,Allergy/Immunology,11-20 years,Private practice,Italy,No,,,Yes,6-10,,Effective,Unsure,Comparable,Yes: Dizziness,Lack of training,Very unlikely,"Dupilumab, Abrocitinib",2,2,,1,4,"Cost, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,None,Patients with severe symptoms,Topical -> Biologic,After failure of topical therapies,High patient satisfaction
36,Allergy/Immunology,6-10 years,Community clinic,Italy,No,,,Yes,6-10,,Very effective,Unsure,Superior,Yes: Nausea,Side effect concerns,Likely,"Abrocitinib, Tralokinumab",2,,1,4,3,"Patient demand, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"Food Allergies, Asthma","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Waiting for more data
37,Pediatrics,0-5 years,Private practice,France,No,,,Yes,6-10,,Somewhat effective,Unsure,Unsure,Yes: Dizziness,Lack of training,Unlikely,"Abrocitinib, Ruxolitinib Cream",2,,4,,,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,Asthma,"Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Biologic,After failure of systemic therapies,Limited evidence available
38,Pediatrics,21+ years,Academic/Research institution,Germany,Yes,Peer recommendation,Rarely,Yes,1-5,,Somewhat effective,More than 4 weeks,Comparable,Yes: Mild headache,,Unlikely,"Dupilumab, Upadacitinib",2,5,,1,1,"Peer recommendations, Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,None,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
39,General Practice,11-20 years,Private practice,Spain,Yes,Medical journal/literature,Rarely,Yes,6-10,,Effective,<2 weeks,Inferior,,,Unlikely,"Tralokinumab, Abrocitinib",5,4,3,5,2,"Patient demand, Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"Food Allergies, Asthma",Patients who failed topical corticosteroids,Topical -> Systemic,After failure of topical therapies,High patient satisfaction
40,Pediatrics,11-20 years,Private practice,Spain,Yes,,,Yes,11-20,,Very effective,More than 4 weeks,Inferior,Yes: Nausea,Limited clinical data,Unlikely,"Abrocitinib, Ruxolitinib Cream",4,4,1,,3,"Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,"Food Allergies, Asthma",Patients who failed topical corticosteroids,Topical -> Systemic,After failure of topical therapies,Waiting for more data
41,Pediatrics,11-20 years,Community clinic,Spain,Yes,Pharmaceutical representative,Frequently,Yes,6-10,,Unsure,Unsure,Inferior,,Cost issues,Likely,"Tralokinumab, Abrocitinib, Dupilumab",2,5,4,4,,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,Asthma,Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Great potential
42,Pediatrics,0-5 years,Community clinic,Spain,No,,,Yes,6-10,,Somewhat effective,Unsure,Inferior,Yes: Nausea,Limited clinical data,Neutral,"Tralokinumab, Upadacitinib, Dupilumab",4,1,3,5,5,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,None,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Great potential
43,Dermatology,0-5 years,Community clinic,France,Yes,,,Yes,11-20,,Unsure,No noticeable response,Inferior,Yes: Nausea,Lack of training,Very unlikely,Tralokinumab,2,4,,2,4,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,"Asthma, Psoriasis",Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Limited evidence available
44,General Practice,21+ years,Academic/Research institution,Germany,No,,,No,,Cost issues,Very effective,<2 weeks,Superior,Yes: Mild headache,Side effect concerns,Unlikely,"Ruxolitinib Cream, Tralokinumab, Abrocitinib",3,3,,2,5,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"Allergic Rhinitis, Psoriasis","Patients who failed topical corticosteroids, Patients with severe symptoms",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
45,Dermatology,0-5 years,Private practice,Spain,Yes,,,Yes,6-10,,Somewhat effective,No noticeable response,Superior,Yes: Nausea,Cost issues,Very likely,Dupilumab,3,2,1,1,,"Clinical efficacy, Patient demand, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,"Asthma, Food Allergies","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Systemic,After failure of topical therapies,Great potential
46,Allergy/Immunology,0-5 years,Academic/Research institution,Germany,No,,,Yes,1-5,,Very effective,Unsure,Superior,,Lack of training,Very likely,"Abrocitinib, Dupilumab",,2,5,,3,"Cost, Clinical efficacy, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,None,Patients who failed systemic therapies,Topical -> Systemic,After failure of systemic therapies,High patient satisfaction
