ID,Specialty,Years_in_Practice,Practice_Setting,Country,Aware_of_Dermacure,First_Learned,Frequency_of_Info,Prescribed_Dermacure,Number_of_Patients,Not_Prescribed_Reasons,Overall_Effectiveness,Response_Time,Safety_Profile,Adverse_Effects,Barriers,Future_Prescribing_Intent,Alternative_Treatments,Dupilumab_Rating,Tralokinumab_Rating,Upadacitinib_Rating,Abrocitinib_Rating,Ruxolitinib_Rating,Influencing_Factors,Ranking_Factors,Patient_Severity,Biologic_Naive_Percentage,Comorbidities,Suitable_Patient_Profile,Patient_Journey,Switching_Stage,Additional_Comments
1,Dermatology,11-20 years,Hospital-based,Italy,No,Pharmaceutical representative,Occasionally,No,0,Concerns about cost,Not effective,No noticeable response,Inferior,Yes: Nausea,Limited clinical data,Likely,"Tralokinumab, Abrocitinib",5.0,2.0,2.0,1.0,2.0,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,Allergic Rhinitis,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of topical therapies,Limited evidence available
2,Pediatrics,6-10 years,Community clinic,Italy,Yes,Professional conference,Occasionally,Yes,1-5,Lack of familiarity,Somewhat effective,<2 weeks,Superior,Yes: Dizziness,Lack of training,Very unlikely,"Dupilumab, Ruxolitinib Cream",4.0,3.0,5.0,3.0,5.0,"Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,Allergic Rhinitis,Patients who failed topical corticosteroids,Topical -> Systemic,After failure of topical therapies,High patient satisfaction
3,General Practice,6-10 years,Community clinic,Germany,Yes,Professional conference,Frequently,Yes,1-5,Lack of familiarity,Effective,2-4 weeks,Superior,Yes: Nausea,Side effect concerns,Very likely,"Upadacitinib, Dupilumab, Tralokinumab",2.0,5.0,5.0,2.0,3.0,"Patient demand, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,Asthma,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of topical therapies,Limited evidence available
4,Allergy/Immunology,0-5 years,Private practice,France,Yes,Medical journal/literature,Rarely,Yes,1-5,Lack of familiarity,Unsure,More than 4 weeks,Comparable,Yes: Dizziness,Cost issues,Unlikely,"Upadacitinib, Abrocitinib, Tralokinumab",1.0,5.0,5.0,1.0,5.0,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Psoriasis, Food Allergies",Patients who failed systemic therapies,Topical -> Biologic,After failure of systemic therapies,Limited evidence available
5,Dermatology,0-5 years,Hospital-based,France,Yes,Peer recommendation,Rarely,No,0,Preference for alternative treatments,Somewhat effective,More than 4 weeks,Comparable,Yes: Mild headache,Limited clinical data,Very likely,"Tralokinumab, Ruxolitinib Cream",5.0,5.0,3.0,3.0,2.0,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,"Psoriasis, Allergic Rhinitis","Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of systemic therapies,Waiting for more data
6,Allergy/Immunology,11-20 years,Hospital-based,Italy,Yes,Medical journal/literature,Occasionally,Yes,1-5,Lack of familiarity,Not effective,<2 weeks,Inferior,Yes: Nausea,Side effect concerns,Unlikely,Tralokinumab,5.0,5.0,5.0,5.0,2.0,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Asthma, Allergic Rhinitis","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Biologic,After failure of systemic therapies,Great potential
7,Pediatrics,11-20 years,Hospital-based,France,No,Pharmaceutical representative,Occasionally,No,0,Cost issues,Somewhat effective,<2 weeks,Comparable,Yes: Nausea,Lack of training,Unlikely,Abrocitinib,4.0,1.0,1.0,5.0,3.0,"Clinical efficacy, Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,"Asthma, None",Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Waiting for more data
8,Allergy/Immunology,21+ years,Private practice,Germany,Yes,Pharmaceutical representative,Occasionally,Yes,More than 20,Lack of familiarity,Very effective,Unsure,Comparable,Yes: Nausea,Lack of training,Unlikely,"Upadacitinib, Ruxolitinib Cream",4.0,1.0,4.0,1.0,4.0,"Patient demand, Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,Psoriasis,"Patients who failed topical corticosteroids, Patients with severe symptoms",Topical -> Systemic,After failure of systemic therapies,High patient satisfaction
9,Allergy/Immunology,21+ years,Private practice,Spain,Yes,Other: Online research,Rarely,Yes,6-10,Lack of familiarity,Not effective,<2 weeks,Inferior,Yes: Nausea,Limited clinical data,Very unlikely,"Ruxolitinib Cream, Tralokinumab, Upadacitinib",2.0,2.0,2.0,5.0,1.0,"Safety profile, Patient demand, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,"Psoriasis, None",Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of topical therapies,Limited evidence available
10,General Practice,11-20 years,Hospital-based,Germany,No,Pharmaceutical representative,Occasionally,Yes,1-5,Lack of familiarity,Very effective,2-4 weeks,Comparable,Yes: Nausea,Lack of training,Very likely,"Abrocitinib, Ruxolitinib Cream",5.0,5.0,3.0,4.0,3.0,"Peer recommendations, Cost, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,Psoriasis,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Great potential
11,Dermatology,0-5 years,Community clinic,Germany,Yes,Online webinar,Rarely,Yes,11-20,Lack of familiarity,Very effective,2-4 weeks,Comparable,Yes: Dizziness,Limited clinical data,Likely,"Dupilumab, Upadacitinib, Abrocitinib",2.0,3.0,5.0,2.0,4.0,"Peer recommendations, Cost, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,Asthma,"Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Biologic,After failure of topical therapies,Great potential
12,Dermatology,21+ years,Private practice,Spain,No,Pharmaceutical representative,Occasionally,No,0,Preference for alternative treatments,Very effective,<2 weeks,Unsure,Yes: Mild headache,Lack of training,Neutral,Abrocitinib,4.0,5.0,5.0,4.0,5.0,"Cost, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"Asthma, Allergic Rhinitis","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
13,General Practice,6-10 years,Community clinic,France,No,Pharmaceutical representative,Occasionally,No,0,Insufficient clinical evidence,Effective,More than 4 weeks,Inferior,Yes: Dizziness,Side effect concerns,Very likely,"Tralokinumab, Abrocitinib",5.0,5.0,5.0,4.0,2.0,"Clinical efficacy, Cost, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,"Allergic Rhinitis, Asthma","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Systemic,After failure of topical therapies,Great potential
14,Pediatrics,6-10 years,Hospital-based,France,Yes,Peer recommendation,Occasionally,No,0,Lack of familiarity,Somewhat effective,More than 4 weeks,Inferior,Yes: Nausea,Limited clinical data,Neutral,"Upadacitinib, Dupilumab, Tralokinumab",4.0,4.0,5.0,5.0,2.0,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Allergic Rhinitis, Psoriasis","Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of topical therapies,Waiting for more data
